lon_fit,lat_fit,ele_fit,width,depth,dist,Wetland_4,CatchmentSize_ha,pCO2_ppm,F_CO2_umol_m2_s,Ele_downstream,Ele_upstream,Stream_name,Ele_diff,reach_length,slope_m.m,k_m_d,Sc,K600
-78.19791545,-0.343410411,3927.779235,31.5,24,488.8557894,COLM,169.7688,1250.423056,2.31,3928.959535,3934.265764,Colmillo,5.306229,180,0.02947905,6.870146227,1156.551915,9.538342692
-78.19807751,-0.343660411,3926.42748,60.5,61,522.1127788,COLM,169.7769,1019.784908,2.105,3926.94111,3931.421743,Colmillo,4.480633,180,0.024892406,8.754957681,1149.616514,12.11866898
-78.19826536,-0.343890411,3925.455883,56.5,46,555.0581202,COLM,171.0621,1218.528675,1.95,3924.648302,3930.044553,Colmillo,5.396251,180,0.029979172,6.055472695,1149.616514,8.382024423
-78.19821968,-0.344100411,3924.651575,70,75,580.5325716,COLM,172.3824,1313.90785,1.185,3922.847922,3929.649495,Colmillo,6.801573,180,0.037786517,3.286238455,1146.168011,4.542004811
-78.19818622,-0.344320411,3923.856088,87.5,71,607.8024248,COLM,173.1636,1340.152269,1.23,3922.230391,3929.425599,Colmillo,7.195208,180,0.039973378,3.316948022,1142.732243,4.577573029
-78.19852276,-0.344560411,3922.707348,30,25.5,654.3711052,COLM,174.3336,1318.547174,4.315,3921.699951,3929.332591,Colmillo,7.63264,180,0.042403556,11.9569444,1135.898727,16.45183674
-78.19954955,-0.345230411,3911.819395,110,16.5,795.2167193,COLM,175.5684,1245.17563,0.33,3921.704747,3928.955031,Colmillo,7.250284,180,0.040279356,1.00278513,1125.810135,1.373614407
-78.19973816,-0.345690411,3906.476466,105.5,20,853.8253044,COLM,187.7076,754.3712352,0,3917.620024,3921.699951,Colmillo,4.079927,180,0.022666261,0,1127.365372,0
-78.19986573,-0.345870411,3903.098292,128,40,878.3681408,COLM,190.3257,764.1083701,0.785,3906.289036,3921.126661,Colmillo,14.837625,180,0.08243125,5.899106308,1122.449551,8.06852247
-78.19993737,-0.346140411,3899.735309,154,24,909.6432784,COLM,190.4778,819.375235,1.81,3906.084717,3920.489164,Colmillo,14.404447,180,0.080024706,11.68351185,1115.832165,15.93298754
-78.19996523,-0.346350411,3899.002867,165,28,933.2268754,COLM,190.8738,836.6046946,0.135,3902.082677,3920.13271,Colmillo,18.050033,180,0.100277961,0.83402302,1115.832165,1.137370215
-78.19994467,-0.346520411,3899.002999,165,28,952.534841,COLM,193.1535,1345.388003,0.08,3899.388911,3918.952062,Colmillo,19.563151,180,0.108684172,0.21785833,1112.541606,0.296658418
-78.1999367,-0.346540411,3899.003016,143,20,954.9547151,COLM,193.3668,1257.75926,0.44,3898.608398,3917.743163,Colmillo,19.134765,180,0.10630425,1.316349729,1129.183175,1.805834153
-78.19975087,-0.346920411,3899.003342,175,53.5,1002.255376,COLM,193.8069,849.2232479,0.22,3898.608398,3917.632622,Colmillo,19.024224,180,0.105690133,1.248459327,1236.626974,1.792330646
-78.1997358,-0.347230411,3898.863607,590,22,1036.839049,COLM,193.8177,1103.597847,1.485,3898.608398,3917.619629,Colmillo,19.011231,180,0.10561795,5.213574981,1236.626974,7.484785458
-78.19976445,-0.347530411,3898.481785,500,30.5,1070.935823,COLM,193.833,921.4522092,1.005,3898.608398,3913.914217,Colmillo,15.305819,180,0.085032328,4.854644275,1236.626974,6.969492336
-78.19967273,-0.347920411,3897.820983,112.5,20.5,1117.91863,COLM,193.8402,987.1542729,2.15,3898.608398,3906.084717,Colmillo,7.476319,180,0.041535106,9.175543997,1229.026702,13.13218088
-78.19956692,-0.348310411,3897.523723,104.5,40.5,1164.414129,COLM,193.8555,979.2442331,1.06,3898.608398,3901.015771,Colmillo,2.407373,180,0.013374294,4.597869309,1225.285123,6.570517519
-78.1993405,-0.348780411,3896.444919,89,85,1223.971345,COLM,210.2958,NA,2.675,3898.608398,3898.612316,Colmillo,0.003918,180,2.17667E-05,NA,NA,NA
-78.1992679,-0.348860411,3895.989738,88,72,1236.194501,COLM,210.3696,1022.632975,1.345,3898.608398,3898.608398,Colmillo,0,180,0,5.411294533,1221.557339,7.721158653
NA,NA,NA,105,58,NA,COLM,NA,NA,2.08,3898.608398,3898.608398,Colmillo,0,180,0,NA,NA,NA
-78.20152703,-0.328625413,4101.086326,NA,NA,0,GAVItrib1,0.5391,5319.166243,1.26,4102.622366,4105.888763,GaviTrib1,3.266397,10,0.3266397,0.634783654,1115.000078,0.865341553
-78.20152703,-0.328625413,4101.086326,NA,NA,0,GAVItrib1,0.5265,11095.729,1.675,4101.204909,4104.511737,GaviTrib1,3.306828,10,0.3306828,0.386517573,1118.667025,0.527769194
-78.20159759,-0.328829913,4098.724497,44,2,25.57649902,GAVItrib1,0.9486,11098.654,3.005,4094.537159,4095.849504,GaviTrib1,1.312345,10,0.1312345,0.695880612,1111.000195,0.9469263
-78.20158192,-0.328979313,4094.147599,44,2,42.33414533,GAVItrib1,1.0269,7979.266913,0.205,4092.099653,4093.813564,GaviTrib1,1.713911,10,0.1713911,0.067373555,1100.922585,0.091262472
-78.20162978,-0.329106913,4091.655974,7,4,57.79782241,GAVItrib1,1.1304,11206.38178,1.15,4089.235519,4090.968891,GaviTrib1,1.733372,10,0.1733372,0.265422977,1096.59418,0.358827615
-78.20173101,-0.329209813,4088.244061,31.5,4.5,73.89428625,GAVItrib1,1.1934,3489.783353,0.345,4087.630456,4089.241516,GaviTrib1,1.61106,10,0.161106,0.279694735,1097.980227,0.378360617
-78.20184918,-0.329317413,4082.058608,16.5,5.75,91.6882921,GAVItrib1,1.2231,1895.811472,0.93,4085.402766,4087.42532,GaviTrib1,2.022554,10,0.2022554,1.544247117,1130.180608,2.119410588
-78.20194027,-0.329460713,4080.116025,91.5,5.1,110.8084104,GAVItrib1,1.2285,4538.995188,1.015,4081.825071,4083.940608,GaviTrib1,2.115537,10,0.2115537,0.607303014,1116.415084,0.8284049
-78.20193958,-0.329581213,4079.741435,27,1,124.3400115,GAVItrib1,1.233,1924.716274,0.585,4079.617157,4081.369525,GaviTrib1,1.752368,10,0.1752368,0.961770103,1109.626765,1.307928819
-78.20192275,-0.329803013,4077.422521,11.5,1.75,149.4211764,GAVItrib1,1.2663,2613.968845,0.82,4076.441964,4076.977283,GaviTrib1,0.535319,10,0.0535319,0.928058001,1101.037208,1.257188767
-78.20203,-0.3299719,4075.916,10,2,171.9825,GAVItrib1,1.2708,2415.417,1.34,4075.523647,4076.027301,GaviTrib1,0.503654,10,0.0503654,1.684440232,1080.194402,2.260117103
-78.20218,-0.3301748,4075.106,23,7,199.872,GAVItrib1,1.2771,2334.253,0.68,4074.382816,4074.77132,GaviTrib1,0.388504,10,0.0388504,0.895671497,1069.926041,1.196051852
-78.20227,-0.3304933,4073.206,40.5,3.5,238.1902,GAVItrib1,1.4985,5068.857,1.335,4068.51448,4073.584098,GaviTrib1,5.069618,10,0.5069618,0.727033055,1059.763921,0.966235738
-78.20310205,-0.330560773,4069.821719,35.5,5.5,1.292980166,GAVItrib2,17.0406,3573.983273,0.655,4066.919129,4067.019353,GaviTrib2,0.100224,10,0.0100224,0.543685441,994.4300665,0.699937403
-78.2031338,-0.330699873,4068.707018,44.5,6.5,17.17957104,GAVItrib2,16.5654,2019.293163,0.5,4066.158303,4066.626399,GaviTrib2,0.468096,10,0.0468096,0.824742921,981.597717,1.054896232
-78.20316861,-0.330963273,4066.646854,32,4,46.7681834,GAVItrib2,18.2466,1460.886328,2.59,4062.73524,4063.776301,GaviTrib2,1.041061,10,0.1041061,6.667125659,954.6554485,8.409813081
-78.20318554,-0.331215773,4063.573561,36,5,74.94060768,GAVItrib2,17.5878,1404.899821,2.28,4060.897909,4061.73003,GaviTrib2,0.832121,10,0.0832121,6.225307035,948.8512132,7.828601907
-78.20095874,-0.327111639,4109.03935,110,48,10.57274833,GAVItrib3,0.1107,1834.589139,0.105,NA,NA,NA,NA,NA,NA,0.182461709,1126.045842,0.249962091
-78.20095407,-0.327118239,4108.997299,NA,NA,11.47265193,GAVItrib3,0.1764,2074.690358,0.105,NA,NA,NA,NA,NA,NA,0.15275706,1169.97729,0.213311556
-78.20091729,-0.327175439,4108.933292,24.5,3.5,19.04367862,GAVItrib3,0.2943,1334.11874,0.255,NA,NA,NA,NA,NA,NA,0.681119433,1140.625551,0.9391159
-78.200883,-0.327227939,4108.933102,21.25,3,26.02592192,GAVItrib3,0.4293,2015.453656,0.465,NA,NA,NA,NA,NA,NA,0.712680124,1137.380717,0.981232564
-78.20077071,-0.327339039,4106.817377,20.5,3.5,43.70607485,GAVItrib3,0.5364,4965.087468,0.905,NA,NA,NA,NA,NA,NA,0.481693754,1159.02635,0.66948684
