"","dist","adjusted_ppm","Totalflux_umolpers","Wetland","Wetland_4","shape","Remove","Totalfux_gpers"
"23",953.491210968,1257.75926,1226.1620378,"COLM","COLM",NA,NA,0.0539511296632
"24",1000.791871868,849.2232479,1252.9243968,"COLM","COLM",NA,NA,0.0551286734592
"25",1035.375544868,1103.597847,1297.5616718,"COLM","COLM",NA,NA,0.0570927135592
"26",1069.472318868,921.4522092,1333.6020698,"COLM","COLM",NA,NA,0.0586784910712
"27",1116.455125868,987.1542729,1455.4034958,"COLM","COLM",NA,NA,0.0640377538152
"28",1162.950624868,979.2442331,1509.7651718,"COLM","COLM",NA,NA,0.0664296675592
"29",1222.507840868,NA,1632.1094478,"COLM","COLM",NA,NA,0.0718128157032
"30",1234.730996868,1022.632975,1663.6070528,"COLM","COLM",NA,NA,0.0731987103232
"31",NA,NA,NA,"COLM","COLM",NA,NA,NA
"32",450.1685604,1008.527805,39.65794318,"ANTE","ANTE",NA,NA,0.00174494949992
"33",443.9671375,785.6929274,36.57935362,"ANTE","ANTE",NA,NA,0.00160949155928
"34",426.3215538,1744.438456,36.4734032,"ANTE","ANTE",NA,NA,0.0016048297408
"35",414.3369614,2425.550391,36.2637108,"ANTE","ANTE",NA,NA,0.0015956032752
"36",392.5013554,1026.038211,35.21927363,"ANTE","ANTE",NA,NA,0.00154964803972
"37",377.6445531,563.8440146,34.30460355,"ANTE","ANTE",NA,NA,0.0015094025562
"38",375.1796192,548.8156906,34.01150996,"ANTE","ANTE",NA,NA,0.00149650643824
"39",372.2681579,316.8696346,33.82558755,"ANTE","ANTE",NA,NA,0.0014883258522
"40",303.4471123,522.9615036,33.97970767,"ANTE","ANTE",NA,NA,0.00149510713748
"41",265.8126506,1311.062431,29.66625298,"ANTE","ANTE",NA,NA,0.00130531513112
"42",244.16928,1209.46321,25.67967956,"ANTE","ANTE",NA,NA,0.00112990590064
"43",221.7485368,1272.841318,21.34680855,"ANTE","ANTE",NA,NA,0.0009392595762
"44",174.6643894,928.338098,18.18637733,"ANTE","ANTE",NA,NA,0.00080020060252
"45",148.0300794,1578.686108,16.44138385,"ANTE","ANTE",NA,NA,0.0007234208894
"46",46.46553906,11459.57361,4.734350404,"ANTE","ANTE",NA,NA,0.000208311417776
"47",42.12155203,1132.429194,4.734350404,"ANTE","ANTE",NA,NA,0.000208311417776
"48",28.90388363,1276.566228,4.50887567,"ANTE","ANTE",NA,NA,0.00019839052948
"49",14.55628335,5341.61136,4.182741455,"ANTE","ANTE",NA,NA,0.00018404062402
